precision,metric,accepted,coverage,risk,threshold
q4,exact_sde,28,0.4666666666666667,0.21428571428571427,0.0
q4,exact_sde,29,0.48333333333333334,0.2413793103448276,0.0
q4,exact_sde,30,0.5,0.23333333333333334,0.0
q4,exact_sde,31,0.5166666666666667,0.25806451612903225,0.0
q4,exact_sde,32,0.5333333333333333,0.25,0.0
q4,exact_sde,33,0.55,0.24242424242424243,0.0
q4,exact_sde,34,0.5666666666666667,0.23529411764705882,0.0
q4,exact_sde,35,0.5833333333333334,0.22857142857142856,0.0
q4,exact_sde,36,0.6,0.2222222222222222,0.0
q4,exact_sde,37,0.6166666666666667,0.21621621621621623,0.0
q4,exact_sde,38,0.6333333333333333,0.21052631578947367,0.0
q4,exact_sde,39,0.65,0.20512820512820512,0.0
q4,exact_sde,40,0.6666666666666666,0.2,0.0
q4,exact_sde,41,0.6833333333333333,0.1951219512195122,0.0
q4,exact_sde,42,0.7,0.19047619047619047,0.0
q4,exact_sde,43,0.7166666666666667,0.20930232558139536,0.05333333333333333
q4,exact_sde,44,0.7333333333333333,0.22727272727272727,0.07999999999999999
q4,exact_sde,45,0.75,0.24444444444444444,0.10666666666666666
q4,exact_sde,46,0.7666666666666667,0.2391304347826087,0.10666666666666666
q4,exact_sde,47,0.7833333333333333,0.2553191489361702,0.10666666666666666
q4,exact_sde,48,0.8,0.2708333333333333,0.16
q4,exact_sde,49,0.8166666666666667,0.2857142857142857,0.16
q4,exact_sde,50,0.8333333333333334,0.3,0.16
q4,exact_sde,51,0.85,0.3137254901960784,0.16
q4,exact_sde,52,0.8666666666666667,0.3269230769230769,0.16
q4,exact_sde,53,0.8833333333333333,0.33962264150943394,0.16
q4,exact_sde,54,0.9,0.3333333333333333,0.24
q4,exact_sde,55,0.9166666666666666,0.34545454545454546,0.24
q4,exact_sde,56,0.9333333333333333,0.35714285714285715,0.28
q4,exact_sde,57,0.95,0.3684210526315789,0.32
q4,exact_sde,58,0.9666666666666667,0.3793103448275862,0.36
q4,exact_sde,59,0.9833333333333333,0.3898305084745763,0.36
q4,exact_sde,60,1.0,0.4,0.4
q4,mean_nll,1,0.017241379310344827,0.0,0.001140218927325951
q4,mean_nll,2,0.034482758620689655,0.0,0.004380618796896303
q4,mean_nll,3,0.05172413793103448,0.0,0.004396170786749366
q4,mean_nll,4,0.06896551724137931,0.0,0.005619603885808969
q4,mean_nll,5,0.08620689655172414,0.0,0.0056928620686154995
q4,mean_nll,6,0.10344827586206896,0.0,0.007211458983655141
q4,mean_nll,7,0.1206896551724138,0.0,0.0074027380157460675
q4,mean_nll,8,0.13793103448275862,0.0,0.007946869168319467
q4,mean_nll,9,0.15517241379310345,0.0,0.008188307453863786
q4,mean_nll,10,0.1724137931034483,0.0,0.01003058617730955
q4,mean_nll,11,0.1896551724137931,0.0,0.01175134348996927
q4,mean_nll,12,0.20689655172413793,0.08333333333333333,0.012595160245845047
q4,mean_nll,13,0.22413793103448276,0.07692307692307693,0.013013672688756212
q4,mean_nll,14,0.2413793103448276,0.07142857142857142,0.014181818201388568
q4,mean_nll,15,0.25862068965517243,0.06666666666666667,0.015593575034673722
q4,mean_nll,16,0.27586206896551724,0.0625,0.015650122178286503
q4,mean_nll,17,0.29310344827586204,0.058823529411764705,0.0159000491915068
q4,mean_nll,18,0.3103448275862069,0.1111111111111111,0.016271680618571843
q4,mean_nll,19,0.3275862068965517,0.10526315789473684,0.01701265154925765
q4,mean_nll,20,0.3448275862068966,0.15,0.018502602896520136
q4,mean_nll,21,0.3620689655172414,0.14285714285714285,0.019700903396097504
q4,mean_nll,22,0.3793103448275862,0.13636363636363635,0.019730540453223894
q4,mean_nll,23,0.39655172413793105,0.13043478260869565,0.01985146262098748
q4,mean_nll,24,0.41379310344827586,0.125,0.01988115053018873
q4,mean_nll,25,0.43103448275862066,0.12,0.020258269029113554
q4,mean_nll,26,0.4482758620689655,0.11538461538461539,0.020422700444756293
q4,mean_nll,27,0.46551724137931033,0.14814814814814814,0.020792513403395656
q4,mean_nll,28,0.4827586206896552,0.14285714285714285,0.02115847555133555
q4,mean_nll,29,0.5,0.1724137931034483,0.02298238241825493
q4,mean_nll,30,0.5172413793103449,0.16666666666666666,0.023468699996595788
q4,mean_nll,31,0.5344827586206896,0.16129032258064516,0.0234766443826364
q4,mean_nll,32,0.5517241379310345,0.1875,0.028858752665158752
